basin,variant,lead,n,issue_date_first,issue_date_last,valid_date_first,valid_date_last,coverage90,crps
camels_10336660,global,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.8712328767123287,1.2856407548915514
camels_10336660,global,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.8653846153846154,1.2977389216610118
camels_10336660,global,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.859504132231405,1.2869720295904739
camels_10336660,global,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.861878453038674,1.2879047107160797
camels_10336660,global,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.8642659279778393,1.3046619759053597
camels_10336660,global,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.8611111111111112,1.288273567566922
camels_10336660,global,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.8635097493036211,1.3319382180035917
camels_10336660,global,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.8561452513966481,1.3638558856282916
camels_10343500,global,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.8383561643835616,0.5052264320519112
camels_10343500,global,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.8186813186813187,0.5245288541845553
camels_10343500,global,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.8209366391184573,0.524542972028102
camels_10343500,global,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.8232044198895028,0.5294463085260966
camels_10343500,global,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.8213296398891967,0.5281109810890092
camels_10343500,global,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.8222222222222222,0.5457478852769445
camels_10343500,global,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.8217270194986073,0.5554193493813531
camels_10343500,global,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.8184357541899442,0.5636666663696001
camels_11148900,global,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.7931506849315069,1.1642821897109767
camels_11148900,global,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.7898351648351648,1.3125559219884286
camels_11148900,global,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.7658402203856749,1.4171134777360344
camels_11148900,global,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.7624309392265194,1.4217449689936839
camels_11148900,global,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.7742382271468145,1.4431330588926221
camels_11148900,global,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.7666666666666667,1.4148545614541999
camels_11148900,global,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.766016713091922,1.3680725079721003
camels_11148900,global,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.7681564245810056,1.4823846039482869
camels_11230500,global,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.9863013698630136,0.5652488367959023
camels_11230500,global,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.9821428571428571,0.5454224967950435
camels_11230500,global,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.9862258953168044,0.5428917660757195
camels_11230500,global,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.9765193370165746,0.5506325378054995
camels_11230500,global,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.9750692520775623,0.5598442845525657
camels_11230500,global,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.9680555555555556,0.580682600492847
camels_11230500,global,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.9623955431754875,0.5997925844541538
camels_11230500,global,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.9581005586592178,0.6262280553342893
camels_11237500,global,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.7986301369863014,1.0578695879293765
camels_11237500,global,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.7857142857142857,1.0711504343698943
camels_11237500,global,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.7865013774104683,1.0713417636314468
camels_11237500,global,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.7762430939226519,1.0824450769422942
camels_11237500,global,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.7770083102493075,1.1280433894079391
camels_11237500,global,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.7597222222222222,1.191997344166412
camels_11237500,global,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.7520891364902507,1.229670785159402
camels_11237500,global,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.7402234636871509,1.29349303228056
camels_11264500,global,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.915068493150685,0.7860985475555627
camels_11264500,global,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.9093406593406593,0.7727261292225766
camels_11264500,global,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.8994490358126722,0.7680841638412547
camels_11264500,global,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.9005524861878453,0.7697509080099519
camels_11264500,global,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.8947368421052632,0.7863350646443458
camels_11264500,global,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.8861111111111111,0.7959778092345501
